STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,,
,,Các môn bắt buộc,,,
1,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,LA1003,Anh văn 1,2,,
,,English 1,,,
4,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,CI1027,Nhập môn về kỹ thuật (Kỹ thuật Trắc địa - Bản đồ),3,,
,,Introduction to Engineering,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
8,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
,,Học kỳ 2,,,
,,Các môn bắt buộc,,,
1,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,LA1005,Anh văn 2,2,,
,,English 2,,,
4,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
5,CI1069,Khoa học trái đất,4,,
,,Earth Science,,,
6,CI1033,Vẽ kỹ thuật xây dựng,3,,
,,Civil Engineering Drawing,,,
,,Học kỳ 3,,,
,,Các môn bắt buộc,,,
1,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,LA1007,Anh văn 3,2,,
,,English 3,,,
4,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
5,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
6,CI2095,Địa chất công trình,3,,
,,Engineering Geology,,,
7,CI1007,Trắc địa đại cương,3,,
,,Basis of Surveying,,,
,,Học kỳ 4,,,
,,Các môn bắt buộc,,,
1,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,LA1009,Anh văn 4,2,,
,,English 4,,,
4,CI2037,Vật liệu xây dựng,3,,
,,Construction Materials,,,
5,CI2007,Sức bền vật liệu,4,,
,,Strength of Materials,,,
,,Học kỳ 5,,,
,,Các môn bắt buộc,,,
1,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
2,CI3251,Lý thuyết sai số và xử lý số liệu,3,,
,,Theory of Errors and Data Processing,,,
3,CI3253,Bản đồ học,3,,
,,Cartography,,,
4,CI2043,Đo vẽ địa hình,3,,
,,Topographic Surveying,,,
5,CI3255,Thực tập đo vẽ và lập bản đồ địa hình,2,,
,,Topographic Surveying and Mapping Practice,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,,
,,Các môn bắt buộc,,,
1,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
2,CI3005,Viễn thám,3,,
,,Remote Sensing,,,
3,CI3257,Trắc địa cao cấp,3,,
,,Geodesy,,,
4,CI3259,Kỹ thuật địa chính,4,,
,,Basis of Cadastre,,,
5,CI3455,Thực tập ngoài trường,2,,
,,Internship,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 7,,,
,,Các môn bắt buộc,,,
1,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
2,CI2045,Hệ thống thông tin địa lý,3,,
,,Geographical Information System,,,
3,CI3003,Trắc lượng ảnh,3,,
,,Photogrammetry,,,
4,CI4159,Trắc địa công trình,4,,
,,Engineering Surveying,,,
5,CI4169,Đồ án chuyên ngành,2,,
,,Project,,,
,,Các môn tự chọn tự do (chọn 3 tín chỉ),,,
6,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 8,,,
,,Các môn bắt buộc,,,
1,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
2,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
3,CI3067,Hệ thống định vị toàn cầu,3,,
,,Global Navigation Satellite Systems,,,
4,CI4457,Đồ án tốt nghiệp,4,,
,,Capstone Project,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,,
5,CI4181,Lãnh đạo và khởi nghiệp,3,,
,,Leadership and Startup,,,
6,CI4183,Lãnh đạo và quản lý dự án,3,,
,,Leadership and Management in Project,,,
