STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1",,,
,,"Các môn bắt buộc",,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
7,EE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
8,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
,,"Học kỳ 2",,,
,,"Các môn bắt buộc",,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,EE1007,Vật lý bán dẫn,4,,
,,Semiconductor Physics,,,
4,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
,,"Học kỳ 3",,,
,,"Các môn bắt buộc",,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,EE2033,Giải tích mạch,3,,
,,Electric Circuit Analysis,,,
4,EE1009,Kỹ thuật số,3,,
,,Digital Designs,,,
5,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,,
,,Computer Systems and Programming Languages,,,
6,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
7,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
,,"Học kỳ 4",,,
,,"Các môn bắt buộc",,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,EE2017,Cơ sở kỹ thuật điện,3,,,X
,,Fundamentals of Power Engineering,,,
3,EE2003,Trường điện từ,3,,
,,Electromagnetic Field,,,
4,EE2039,Vi xử lý,3,,,X
,,Microprocessor,,,
5,EE2035,Mạch điện tử,3,,
,,Electronic Circuits,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
,,"Học kỳ 5",,,
,,"Các môn bắt buộc",,,
1,EE2021,Cơ sở điện tử công suất,3,,,X
,,Fundamental of Power Electronics,,,
2,EE2019,Cơ sở điều khiển tự động,3,,
,,Fundamentals of Control Systems,,,
3,EE2023,Thực tập điện tử 1,1,,,X
,,Electronic Workshop 1,,,
4,EE3013,Giải tích hệ thống điện,3,,,X
,,Power System Analysis,,,
5,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
6,EE2025,Thực tập điện 1,1,,,X
,,Electrical Workshop 1,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
7,,Tự chọn tự do,3,,
,,Free Elective,,,
,,"Học kỳ 6",,,
,,"Các môn bắt buộc",,,
1,EE3001,Hệ thống cung cấp điện,3,,,X
,,Power Delivery System,,,
2,EE3027,Nhà máy điện và trạm biến áp,3,,,X
,,Electric Power Plants and Substations,,,
3,EE3009,Máy điện,3,,,X
,,Electric Machinery,,,
4,EE3023,Thực tập điện 2,1,,,X
,,Electrical Workshop 2,,,
5,EE3345,Thực tập ngoài trường,2,,,X
,,Internship,,,
6,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
7,EE3181,Đồ án 1 (Kỹ thuật điện),1,,,X
,,Project 1,,,
,,"Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau)",,,
8,EE3145,Kỹ thuật ra quyết định,3,,
,,Techniques for Engineering Decisions,,,
9,EE3131,Hệ thống năng lượng xanh,3,,
,,Green Power and Energy System,,,
10,EE3139,Cảm biến và đo lường,3,,
,,Sensors and Instrumentation,,,
11,EE3089,Kỹ thuật cao áp,3,,
,,High Voltage Engineering,,,
12,EE3099,Kỹ thuật chiếu sáng,3,,
,,Lighting Technology,,,
13,EE3143,Điều khiển và ứng dụng các bộ biến đổi công suất,3,,
,,Control and Applications of Power Electronic Converters,,,
14,EE3135,Kỹ thuật nhiệt lạnh,3,,
,,Heat and Refrigeration Engineering,,,
15,EE3133,Thiết bị điện trong phân phối điện,3,,
,,Electrical Distribution Equipment,,,
16,EE3171,IoT trong công nghiệp và dân dụng,3,,
,,IoT in Industrial and Civil Engineering,,,
17,EE3087,Bảo vệ rơle trong hệ thống điện,3,,
,,Power System Protection,,,
18,EE3093,Vận hành và điều khiển hệ thống điện,3,,
,,Power System Operation and Control,,,
19,EE3179,Truyền động điện,3,,
,,Electric Drives,,,
,,"Học kỳ 7",,,
,,"Các môn bắt buộc",,,
1,EE3097,Kỹ thuật an toàn điện,3,,,X
,,Electrical Safety Engineering,,,
2,EE4007,Đồ án 2 (Kỹ thuật điện),2,,,X
,,Project 2,,,
3,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
4,,Tự chọn tự do,3,,
,,Free Elective,,,
,,"Các môn tự chọn nhóm A (chọn 6 tín chỉ trong các môn học sau)",,,
5,EE3145,Kỹ thuật ra quyết định,3,,
,,Techniques for Engineering Decisions,,,
6,EE3101,Kỹ thuật tiết kiệm và sử dụng hiệu quả điện năng,3,,
,,Energy Efficiency Technique,,,
7,EE3131,Hệ thống năng lượng xanh,3,,
,,Green Power and Energy System,,,
8,EE3091,Vật liệu kỹ thuật điện,3,,
,,Electrical Engineering Materials,,,
9,EE3095,Ổn định hệ thống điện,3,,
,,Power System Stability,,,
10,EE3089,Kỹ thuật cao áp,3,,
,,High Voltage Engineering,,,
11,EE3099,Kỹ thuật chiếu sáng,3,,
,,Lighting Technology,,,
12,EE3135,Kỹ thuật nhiệt lạnh,3,,
,,Heat and Refrigeration Engineering,,,
13,EE3133,Thiết bị điện trong phân phối điện,3,,
,,Electrical Distribution Equipment,,,
14,EE3087,Bảo vệ rơle trong hệ thống điện,3,,
,,Power System Protection,,,
15,EE3093,Vận hành và điều khiển hệ thống điện,3,,
,,Power System Operation and Control,,,
16,EE3179,Truyền động điện,3,,
,,Electric Drives,,,
17,EE4027,Nhập môn chiếu sáng,3,,
,,Light and Experiences,,,
18,EE4029,Chiếu sáng thông minh,3,,
,,Smart Lighting,,,
,,"Học kỳ 8",,,
,,"Các môn bắt buộc",,,
1,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
2,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
3,EE4347,Đồ án tốt nghiệp,4,,,X
,,Capstone Project,,,
,,"Các môn tự chọn tự do (chọn 3 tín chỉ)",,,
4,,Tự chọn tự do,3,,
,,Free Elective,,,
,,"Các môn tự chọn nhóm B (chọn 3 tín chỉ trong các môn học sau)",,,
5,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
6,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
7,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
8,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
9,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
