STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Các môn bắt buộc (Compulsary Courses) [BB],,,
,,A1. Toán và Khoa học Tự nhiên (Mathematics and Basic Sciences) [BB],,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
8,CO1007,Cấu trúc Rời rạc cho Khoa học Máy tính,4,,
,,Discrete Structures for Computing,,,
9,CO2011,Mô hình hóa Toán học,3,CO1007(KN),
,,MaThematical Modeling,,,
,,A2. Chính trị, Kinh tế, Văn hóa, Xã hội (Socials and Economics) [BB],,,
1,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to VieTNamese Law,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,SP1033,Kinh tế Chính tri Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
4,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
5,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
6,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of VieTNamese Communist Party,,,
,,A3. Nhập môn, Con người và môi trường (Introduction to Engineering, Humans and Environme,,
1,CO1005,Nhập môn Điện toán,3,,
,,Introduction to Computing,,,
2,CO2001,Kỹ năng Chuyên nghiệp cho Kỹ sư,3,CO1005(TQ),
,,Professional Skills for Engineers,,,
,,A4. Ngoại ngữ (Foreign Languages) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
3,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
4,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,A5. Cơ sở ngành (Core Courses) [BB],,,
1,CO1023,Hệ thống số,3,,
,,Digital Systems,,,
2,CO1025,Thiết kế Luận lý Với HDL,3,CO1023(KN),
,,Logic Design wiTh HDL,,,
3,CO1027,Kỹ thuật Lập trình,3,,
,,Programming Fundamentals,,,
4,CO2003,Cấu trúc Dữ liệu và Giải Thuật,4,CO1027(KN), CO1007(KN),X
,,Data Structures and AlgoriThms,,,
5,CO2007,Kiến trúc Máy tính,4,CO1005(KN),X
,,Computer Architecture,,,
6,CO2037,Mạch Điện - Điện tử,4,,X
,,Electrical Electronic Circuits,,,
7,CO2017,Hệ điều hành,3,,X
,,Operating Systems,,,
,,A6. Giáo dục thể chất (chưa có) [BB],,,
1,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
2,PE1005,Giáo dục thể chất 2,0,PE1003(HT),
,,Physical Education 2,,,
,,A7. Giáo dục quốc phòng (chưa có) [BB],,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,B. Các môn thuộc chuyên ngành (Specialized Subjects) [BB],,,
,,B1. Chuyên ngành: Hệ thống tính toán hiện đại (Speciality: Modern Computing Systems) [BB],,,
,,B1.1. Các môn bắt buộc (Compulsory subjects) [BB],,,
1,CO3001,Công nghệ Phần mềm,3,CO1027(KN),
,,Software Engineering,,,
2,CO3007,Đánh giá Hiệu năng Hệ thống,3,MT2013(KN),X
,,System Performance Evaluation,,,
3,CO3009,Vi xử lý - Vi điều khiển,3,,X
,,Microprocessors-Microcontrollers,,,
4,CO3053,Hệ thống nhúng,3,CO3009(KN),X
,,Embedded System,,,
5,CO3091,Đồ án môn học Thiết kế Luận lý,2,CO1025(KN), CO1023(KN),
,,Logic Design Project,,,
6,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
7,CO3097,Thiết kế Vi mạch,3,CO1025(KN), CO1023(KN),X
,,LSI Logic Design,,,
,,B1.2. Các môn tự chọn nhóm A (Elective Courses - Group A) [TC],,,
1,CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,,
,,Multidisciplinary Project,,,
2,CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mềm,1,,
,,Multidisciplinary Project,,,
3,CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,,
,,Multidisciplinary Project,,,
,,B1.3. Các môn tự chọn nhóm B (Elective Courses - Group B ) [TC],,,
1,CO2035,Xử lý Tín hiệu số,3,,
,,Digital Signal Processing,,,
2,CO3035,Hệ thời gian thực,3,,
,,Real-Time Systems,,,
3,CO3071,Hệ phân bố,3,,
,,Distributed Systems,,,
4,CO3117,Học máy,3,,
,,Machine Learning,,,
5,CO3143,Giới thiệu hệ thống trên chip,3,CO2007(KN), CO1025(KN), CO1023(KN),
,,Introduction to System on Chip,,,
6,CO3145,Thiết kế luận lý với HDL nâng cao,3,CO2007(KN), CO1025(KN), CO1023(KN),
,,Advanced Logic Design with HDL,,,
7,CO3147,Thiết kế vi mạch nâng cao,3,CO3097(KN),
,,Advanced VLSI design,,,
8,CO3149,Tổng hợp luận lý vi mạch,3,CO1025(KN), CO1023(KN),
,,Logic Synthesis,,,
,,B1.4. Các môn tự chọn nhóm C (Elective Courses - Group C) [TC],,,
1,IM1013,Kinh tế học Đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
3,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
4,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
5,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
,,Business Administration for Engineers,,,
,,B2. Chuyên ngành: Internet vạn vật và An ninh mạng (Speciality: IoTs and Network Security) [,
,,B2.1. Các môn bắt buộc (Compulsory subjects) [BB],,,
1,CO3001,Công nghệ Phần mềm,3,CO1027(KN),
,,Software Engineering,,,
2,CO3007,Đánh giá Hiệu năng Hệ thống,3,MT2013(KN),X
,,System Performance Evaluation,,,
3,CO3009,Vi xử lý - Vi điều khiển,3,,X
,,Microprocessors-Microcontrollers,,,
4,CO3053,Hệ thống nhúng,3,CO3009(KN),X
,,Embedded System,,,
5,CO3091,Đồ án môn học Thiết kế Luận lý,2,CO1025(KN), CO1023(KN),
,,Logic Design Project,,,
6,CO3093,Mạng máy tính,3,,X
,,Computer Networks,,,
7,CO3097,Thiết kế Vi mạch,3,CO1025(KN), CO1023(KN),X
,,LSI Logic Design,,,
,,B2.2. Các môn tự chọn nhóm A (Elective Courses - Group A ) [TC],,,
1,CO3107,Thực tập Đồ án môn học Đa ngành - Hướng Trí tuệ Nhân tạo,1,,
,,Multidisciplinary Project,,,
2,CO3109,Thực tập Đồ án môn học Đa ngành - Hướng công Nghệ phần mềm,1,,
,,Multidisciplinary Project,,,
3,CO3111,Thực tập Đồ án môn học Đa ngành - hướng Hệ thống Thông tin,1,,
,,Multidisciplinary Project,,,
,,B2.3. Các môn tự chọn nhóm B (Elective Courses - Group B) [TC],,,
1,CO2035,Xử lý Tín hiệu số,3,,
,,Digital Signal Processing,,,
2,CO3037,Phát triển Ứng dụng Internet of Things,3,,
,,Internet of Things Application Development,,,
3,CO3049,Lập trình Web,3,,
,,Web Programming,,,
4,CO3069,Mật mã và An ninh mạng,3,,
,,Cryptography and Network Security,,,
5,CO3021,Hệ Quản trị Cơ sở Dữ Liệu,3,CO2013(KN),
,,Database Management Systems,,,
6,CO3141,Điện toán đám mây,3,CO2017(KN),
,,Cloud computing,,,
7,CO3067,Tính toán Song song,3,,
,,Parallel Computing,,,
8,CO3051,Hệ thống thiết bị di động,3,,
,,Mobile Systems,,,
,,B2.4. Các môn tự chọn nhóm C (Elective Courses - Group C) [TC],,,
1,IM1013,Kinh tế học Đại cương,3,,
,,Economics,,,
2,IM1023,Quản lý Sản xuất cho Kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
3,IM1025,Quản lý Dự án cho Kỹ sư,3,,
,,Project Management for Engineers,,,
4,IM1027,Kinh tế Kỹ thuật,3,,
,,Engineering Economics,,,
5,IM3001,Quản trị Kinh doanh cho Kỹ sư,3,,
