STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,I. Các môn bắt buộc (Compulsory Courses),98,,
1,MT1003,Giải tích 1,4,,Toán và KH Tự nhiên
,,Calculus 1,,,
2,MT1005,Giải tích 2,3,,Toán và KH Tự nhiên
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,Toán và KH Tự nhiên
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,,Toán và KH Tự nhiên
,,Probability and Statistics,,,
5,CH1003,Hóa đại cương,3,,Toán và KH Tự nhiên
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,Toán và KH Tự nhiên
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,Toán và KH Tự nhiên
,,General Physics Labs,,,
8,EE1007,Vật lý bán dẫn,4,,Toán và KH Tự nhiên
,,Semiconductor Physics,,,
9,MT1009,Phương pháp tính,3,,Toán và KH Tự nhiên
,,Numerical Methods,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,Chính trị,Kinh tế,Văn hóa,Xã hội
,,History of Vietnamese Communist Party,,,
16,EE1001,Nhập môn về kỹ thuật,3,,Nhập môn
,,Introduction to Electrical and Electronics Engineering,,,
17,EN1003,Con người và môi trường,3,,Con người và môi trường
,,Humans and the Environment,,,
18,LA1003,Anh văn 1,2,,Ngoại ngữ
,,English 1,,,
19,LA1005,Anh văn 2,2,,Ngoại ngữ
,,English 2,,,
20,LA1007,Anh văn 3,2,,Ngoại ngữ
,,English 3,,,
21,LA1009,Anh văn 4,2,,Ngoại ngữ
,,English 4,,,
22,EE1009,Kỹ thuật số,3,,Cơ sở ngành
,,Digital Designs,,,
23,EE2005,Tín hiệu và hệ thống,3,,Cơ sở ngành
,,Signals and Systems,,,
24,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,,Cơ sở ngành
,,Computer Systems and Programming Languages,,,
25,EE2023,Thực tập điện tử 1,1,,Cơ sở ngành
,,Electronic Workshop 1,,,
26,EE2025,Thực tập điện 1,1,,Cơ sở ngành
