STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,A. Các môn bắt buộc (Compulsory Courses) [BB],,,
,,A.1. Toán & Khoa học Tự nhiên (Math & Science) [BB],,,
,,A.1.1. Toán (Math) [BB],,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1007,Đại số Tuyến tính,3,,
,,Linear Algebra,,,
3,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
4,MT2013,Xác suất và Thống kê,4,MT1007(KN),
,,Probability and Statistics,,,
,,A.1.2. Khoa học Tự nhiên (Science) [BB],,,
1,PH1007,Thí nghiệm Vật lý,1,,
,,General Physics Labs,,,
2,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
,,A.1.3. Các môn Toán và Khoa học tự nhiên khác (Others) [BB],,,
1,CI1069,Khoa học Trái đất,4,,
,,Earth Science,,,
2,MT1009,Phương pháp tính,3,MT1003(KN),
,,Numerical Methods,,,
,,A.2. Giáo dục chung (General education) [BB],,,
,,A.2.1. Kinh tế - Chính trị - Xã hội - Luật (Economy - Politics - Society - Law) [BB],,,
1,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
2,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
3,SP1035,Chủ nghĩa Xã hội Khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
4,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
5,SP1033,Kinh tế Chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
6,SP1007,Pháp luật Việt Nam Đại cương,2,,
,,Introduction to Vietnamese Law,,,
,,A.2.2. Giáo dục chung khác (Other education courses) [BB],,,
,,A.2.2.1. Chứng chỉ (Certificate) [BB],,,
1,MI1003,Giáo dục Quốc phòng,0,,
,,Military Training,,,
,,A.2.2.2. Giáo dục thể chất 1 (choose 1 subject from the following subjects)) [TC],,,
1,PE1009,Bóng đá (Học phần 1),0,,
,,Football,,,
2,PE1011,Bóng chuyền (Học phần 1),0,,
,,Volleyball,,,
3,PE1013,Bóng bàn (Học phần 1),0,,
,,Table tennis,,,
4,PE1015,Bóng rổ (Học phần 1),0,,
,,Basketball,,,
5,PE1017,Cầu lông (Học phần 1),0,,
,,Badminton,,,
6,PE1019,Bơi (học Phần 1),0,,
,,Swimming,,,
7,PE1021,Aerobic (học Phần 1),0,,
,,Aerobic,,,
8,PE1025,Điền kinh (Học phần 1),0,,
,,Athletics,,,
9,PE1027,Quần vợt (Học phần 1),0,,
,,Tennis,,,
10,PE1053,Cờ vua (Học phần 1),0,,
,,Chess,,,
11,PE1057,Bowling (học phần 1),0,,
,,Bowling,,,
12,PE1061,Pickleball (học phần 1),0,,
,,Pickleball,,,
,,A.2.2.3. Giáo dục thể chất 2 (choose 1 subject from the following subjects)) [TC],,,
1,PE1033,Bóng đá (Học phần 2),0,,
,,Football,,,
2,PE1035,Bóng chuyền (Học phần 2),0,,
,,Volleyball,,,
3,PE1037,Bóng bàn (Học phần 2),0,,
,,Table tennis,,,
4,PE1039,Bóng rổ (Học phần 2),0,,
,,Basketball,,,
5,PE1041,Cầu lông (Học phần 2),0,,
,,Badminton,,,
6,PE1043,Bơi (học Phần 2),0,,
,,Swimming,,,
7,PE1045,Aerobic (học Phần 2),0,,
,,Aerobic,,,
8,PE1049,Điền kinh (học phần 2),0,,
,,Athletics,,,
9,PE1051,Quần vợt (Học phần 2),0,,
,,Tennis,,,
10,PE1055,Cờ vua (học phần 2),0,,
,,Chess,,,
11,PE1059,Bowling (học phần 2),0,,
,,Bowling,,,
12,PE1063,Pickleball (học phần 2),0,,
,,Pickleball,,,
,,A.2.2.4. Giáo dục chung khác (Others) [BB],,,
1,EN1003,Con người và Môi trường,3,,
,,Humans and The Environment,,,
,,A.2.3. Ngoại ngữ (English) [BB],,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
3,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
4,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
,,A.2.4. Nhập môn (Introduction) [BB],,,
1,CI1001,Nhập môn Về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,A.3. Cơ sở ngành/ngành/chuyên ngành (Basic major/specialized major) [BB],,,
,,A.3.1. Cơ sở ngành/nhóm ngành (Basic major/specialized major) [BB],,,
,,A.3.1.1. Cơ sở ngành/nhóm ngành (Basic major/specialized major) [BB],,,
1,CI2007,Sức bền Vật liệu,4,,
,,Strength of Materials,,,
2,CI2139,Kết cấu Bê tông Cốt thép,3,CI2135(SHT),CI2007(TQ),
,,Reinforced Concrete Structures,,,
3,CI1007,Trắc địa Đại cương,3,,
,,Basis of Surveying,,,
4,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
5,CI2095,Địa chất Công trình,3,,
,,Engineering Geology,,,
6,CI2147,Thí nghiệm công trình,1,CI2139(HT),CI2133(HT),
,,Structural Testing,,,
7,CI2151,Kinh tế Xây dựng,3,,
,,Construction Economics,,,
8,CI2145,Nền móng,4,CI2137(HT),
,,Foundation Engineering,,,
9,CI2135,Cơ kết cấu,3,CI2007(HT),
,,Mechanics of Structures,,,
