STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1,,
,,Các môn bắt buộc,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
5,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
6,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
7,EE1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Electrical and Electronics Engineering,,,
8,PE1003,Giáo dục thể chất 1,0,,
,,Physical Education 1,,,
,,Học kỳ 2,,
,,Các môn bắt buộc,,
1,LA1005,Anh văn 2,2,,
,,English 2,,,
2,MT1005,Giải tích 2,4,,
,,Calculus 2,,,
3,EE1007,Vật lý bán dẫn,4,,
,,Semiconductor Physics,,,
4,MT1009,Phương pháp tính,3,,
,,Numerical Methods,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PE1005,Giáo dục thể chất 2,0,,
,,Physical Education 2,,,
,,Học kỳ 3,,
,,Các môn bắt buộc,,
1,LA1007,Anh văn 3,2,,
,,English 3,,,
2,MT2013,Xác suất và thống kê,4,,
,,Probability and Statistics,,,
3,EE2033,Giải tích mạch,3,,
,,Electric Circuit Analysis,,,
4,EE1009,Kỹ thuật số,3,,
,,Digital Designs,,,
5,EE2009,Hệ thống máy tính và ngôn ngữ lập trình,3,,
,,Computer Systems and Programming Languages,,,
6,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
7,PE1007,Giáo dục thể chất 3,0,,
,,Physical Education 3,,,
,,Học kỳ 4,,
,,Các môn bắt buộc,,
1,LA1009,Anh văn 4,2,,
,,English 4,,,
2,EE2039,Vi xử lý,3,,
,,Microprocessor,,,
3,EE2005,Tín hiệu và hệ thống,3,,
,,Signals and Systems,,,
4,EE2035,Mạch điện tử,3,,
,,Electronic Circuits,,,
5,EE2017,Cơ sở kỹ thuật điện,3,,
,,Fundamentals of Power Engineering,,,
6,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
,,Học kỳ 5,,
,,Các môn bắt buộc,,
1,EE2021,Cơ sở điện tử công suất,3,,
,,Fundamental of Power Electronics,,,
2,EE2019,Cơ sở điều khiển tự động,3,,
,,Fundamentals of Control Systems,,,
3,EE3029,Thiết bị và hệ thống tự động,3,,
,,Devices and Automation Systems,,,
4,EE2023,Thực tập điện tử 1,1,,
,,Electronic Workshop 1,,,
5,EE2025,Thực tập điện 1,1,,
,,Electrical Workshop 1,,,
6,SP1033,Kinh tế chính trị Mác - Lênin,2,,
,,Marxist - Leninist Political Economy,,,
7,,Tự chọn tự do,3,,
,,Free Elective,,,
,,Học kỳ 6,,
,,Các môn bắt buộc,,
1,EE3017,Đo lường và điều khiển bằng máy tính,3,,
,,PC-Based Measurement and Control,,,
2,EE3005,Đo lường công nghiệp,3,,
,,Industrial Instrumentation,,,
3,EE3007,Lý thuyết điều khiển nâng cao,3,,
,,Advanced Control Theory,,,
4,EE2051,Thực tập điện 2,1,,
,,Electrical Workshop 2,,,
5,EE2003,Trường điện từ,3,,
,,Electromagnetic Field,,,
6,SP1035,Chủ nghĩa xã hội khoa học,2,,
,,Scientific Socialism,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,
7,EE3057,Nhập môn điều khiển thông minh,3,,
,,Introduction to Intelligent Control,,,
8,EE3063,Trí tuệ nhân tạo trong điều khiển,3,,
,,Artificial Intelligence,,,
9,EE3175,Mô hình và mô phỏng hệ thống công nghiệp,3,,
,,Modeling and Simulation of Industrial Systems,,,
10,EE3067,Hệ thống điều khiển nhúng,3,,
,,Embedded Control Systems,,,
11,EE3069,PLC,3,,
,,Programmable Logic Controller,,,
12,EE3071,SCADA,3,,
,,SCADA,,,
13,EE3075,Thiết bị và hệ thống tự động thủy khí,3,,
,,Pneumatic & Hydraulic Control Components and Systems,,,
14,EE3077,Thị giác máy,3,,
,,Machine Vision,,,
15,EE3079,Điện tử công suất ứng dụng,3,,
,,Power Electronics and Applications,,,
16,EE3173,Điều khiển chuyển động,3,,
,,Motion Control,,,
,,Học kỳ 7,,
,,Các môn bắt buộc,,
1,EE3065,Kỹ thuật robot,3,,
,,Robotics,,,
2,EE2015,Xử lý số tín hiệu,3,,
,,Digital Signal Processing,,,
3,EE2047,Truyền số liệu và mạng,3,,
,,Data Communications and Networking,,,
4,EE2049,Thực tập điện tử 2,1,,
,,Electronic Workshop 2,,,
5,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,,
,,History of Vietnamese Communist Party,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,
6,EE3057,Nhập môn điều khiển thông minh,3,,
,,Introduction to Intelligent Control,,,
7,EE3063,Trí tuệ nhân tạo trong điều khiển,3,,
,,Artificial Intelligence,,,
8,EE3175,Mô hình và mô phỏng hệ thống công nghiệp,3,,
,,Modeling and Simulation of Industrial Systems,,,
9,EE3067,Hệ thống điều khiển nhúng,3,,
,,Embedded Control Systems,,,
10,EE3069,PLC,3,,
,,Programmable Logic Controller,,,
11,EE3071,SCADA,3,,
,,SCADA,,,
12,EE3075,Thiết bị và hệ thống tự động thủy khí,3,,
,,Pneumatic & Hydraulic Control Components and Systems,,,
13,EE3077,Thị giác máy,3,,
,,Machine Vision,,,
14,EE3079,Điện tử công suất ứng dụng,3,,
,,Power Electronics and Applications,,,
15,EE3173,Điều khiển chuyển động,3,,
,,Motion Control,,,
,,Học kỳ 8,,
,,Các môn bắt buộc,,
1,EE3003,Thiết kế hệ thống nhúng,3,,
,,Embedded System Design,,,
2,EE3015,Kỹ thuật hệ thống viễn thông,3,,
,,Communication Systems Engineering,,,
3,EE3165,Thiết kế vi mạch,3,,
,,IC Design,,,
4,EE2063,Đồ án 1 (Kỹ thuật điều khiển và Tự động hóa & KT Điện tử- Viễn thông),1,,
,,Project 1,,,
5,EE4111,Thực tập ngoài trường (Kỹ thuật điều khiển và Tự động hóa & KT Điện tử- Viễn thô,2,,
,,Internship,,,
6,SP1037,Tư tưởng Hồ Chí Minh,2,,
,,Ho Chi Minh Ideology,,,
,,Các môn tự chọn nhóm A (chọn 3 tín chỉ trong các môn học sau),,
7,EE3057,Nhập môn điều khiển thông minh,3,,
,,Introduction to Intelligent Control,,,
8,EE3063,Trí tuệ nhân tạo trong điều khiển,3,,
,,Artificial Intelligence,,,
9,EE3175,Mô hình và mô phỏng hệ thống công nghiệp,3,,
,,Modeling and Simulation of Industrial Systems,,,
10,EE3067,Hệ thống điều khiển nhúng,3,,
,,Embedded Control Systems,,,
11,EE3069,PLC,3,,
,,Programmable Logic Controller,,,
12,EE3071,SCADA,3,,
,,SCADA,,,
,,Học kỳ 9,,
,,Các môn bắt buộc,,
1,EE3025,Kỹ thuật siêu cao tần,3,,
,,Microwave Engineering,,,
2,EE3011,Mạch điện tử thông tin,3,,
,,Electronics Circuits for Communications,,,
3,EE4123,Đồ án 2 (Kỹ thuật điều khiển và Tự động hóa & KT Điện tử- Viễn thông),2,,
,,Project 2,,,
,,Các môn tự chọn nhóm B (chọn 6 tín chỉ trong các môn học sau),,
4,EE3031,Lập trình hệ thống nhúng,3,,
,,Embedded System Programming,,,
5,EE3035,Xử lý ảnh,3,,
,,Digital Image Processing,,,
6,EE3037,Điện tử y sinh,3,,
,,Biomedical Electronics,,,
7,EE3041,Xử lý tín hiệu số với FPGA,3,,
,,Digital Signal Processing on FPGA,,,
8,EE3043,Cấu trúc máy tính,3,,
,,Computer Architecture,,,
9,EE3085,Mạng viễn thông,3,,
,,Communication Networks,,,
10,EE3107,Thông tin di động,3,,
,,Mobile Communications,,,
11,EE3111,Mạng máy tính,3,,
,,Computer Network,,,
12,EE3117,Thiết kế vi mạch số,3,,
,,Digital IC Design,,,
13,EE3121,Thiết kế vi mạch tương tự và hỗn hợp,3,,
,,Analog and Mixed Signal IC Design,,,
14,EE3127,Anten - truyền sóng vô tuyến,3,,
,,Antennas and Radio Wave Propagation,,,
15,EE3129,Điện tử ứng dụng,3,,
,,Applied Electronics,,,
16,EE3167,Thiết kế và phát triển ứng dụng IoT,3,,
,,Design and Development of IoT Applications,,,
17,EE3169,Máy học cơ bản và ứng dụng,3,,
,,An Introduction to Machine Learning and Applications,,,
18,EE3177,Chuyên đề điện tử - viễn thông,3,,
,,Special Topics in Electronics and Telecomunications,,,
,,Học kỳ 10,,
,,Các môn bắt buộc,,
1,EN1003,Con người và môi trường,3,,
,,Humans and the Environment,,,
2,EE4211,Đồ án tốt nghiệp (Kỹ thuật điều khiển và Tự động hóa & KT Điện tử- Viễn thông),4,,
,,Capstone Project,,,
,,Các môn tự chọn tự do (chọn 6 tín chỉ),,
3,,Tự chọn tự do,6,,
,,Free Elective,,,
,,Các môn tự chọn nhóm C (chọn 3 tín chỉ trong các môn học sau),,
4,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
6,IM2003,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
7,IM3003,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management,,,
8,IM2011,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
