STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,"Học kỳ 1 (Semester 1)",,,
,,Các học phần bắt buộc (Compulsary Courses)",,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
3,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
5,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,TR1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,"Học kỳ 2 (Semester 2)",,,
,,Các học phần bắt buộc (Compulsary Courses)",,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
4,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
5,,Giáo dục thể chất,0,,
,,Physical Education,,,
6,TR1003,Vẽ kỹ thuật giao thông,3,,
,,Transportation Drafting,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,"Học kỳ 3 (Semester 3)",,,
,,Các học phần bắt buộc (Compulsary Courses)",,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
3,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
4,CO1003,Nhập môn về lập trình,3,,
,,Introduction to Computer Programming,,,
5,TR1005,Cơ học thủy khí,3,,
,,Fluid Mechanics,,,
6,TR2033,Kỹ thuật chế tạo,3,TR1001(KN),
,,Manufacturing Engineering,,,
,,"Học kỳ 4 (Semester 4)",,,
,,Các học phần bắt buộc (Compulsary Courses)",,,
1,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
2,MT1009,Phương pháp tính,3,MT1003(KN) MT1007(KN),
,,Numerical Methods,,,
3,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
4,TR2035,Cơ kết cấu giao thông,3,,
,,Structural Mechanics,,,
