STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương (General Knowledge),,,
,,Toán (Mathematics),,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,MT1003(KN) MT1007(KN),
,,Probability and Statistics,,,
,,Khoa học tự nhiên (Science),,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác (Other Mathematics and Science),,,
8,IU2023,Phương pháp tính và lập trình C,3,MT1003(KN) MT1005(KN) MT1007(KN),
,,Computational Methods and C Programming,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật (Economics - Politics - Sociology - Law),,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác (Other Knowledge),,,
,,Nhập môn (Introduction to Engineering),,,
16,IU1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IU4023,Khởi nghiệp,3,,
,,Entrepreneurship,,,
17.2,IU4025,Chi phí bảo trì,3,IU2021(KN),
,,Maintenance Costs,,,
,,Con người và môi trường (Humans and Environment),,,
18,IU4019,An toàn và môi trường trong bảo dưỡng,3,,
,,Safety and Environmental Issues in Industrial Maintenance,,,
,,Ngoại ngữ (Foreign Language),,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp (Professional Knowledge),,,
,,Cơ sở ngành (Core),,,
1,CI2003,Cơ lưu chất,3,,
,,Fluid Mechanics,,,
2,IU1003,Vẽ kỹ thuật bảo dưỡng,3,,
,,Engineering Drawing for Maintenance,,,
3,IU1005,Cơ kỹ thuật,3,PH1003(KN),
,,Engineering Mechanics,,,
4,IU2001,Cơ học vật liệu,3,IU1005(SH),
,,Mechanics of Materials,,,
5,IU2003,Mạch điện,3,MT1003(KN) PH1005(KN),
,,Electric Circuits,,,
6,IU2011,Kỹ thuật điện tử,3,IU2003(KN),
,,Electronic Engineering,,,
7,IU2021,Tổ chức quản lý bảo dưỡng,3,,
,,Maintenance Planning and Management,,,
8,IU3017,Kỹ thuật số,3,IU2003(KN) IU2011(KN),
,,Digital System Technology,,,
9,IU3057,Công nghệ cơ khí 1,3,IU2001(KN),
,,Mechanical Technology 1,,,
10,IU3061,Công nghệ cơ khí 2,3,IU3057(SH),
,,Mechanical Technology 2,,,
11,ME2013,Nhiệt động lực học và truyền nhiệt,3,PH1003(KN),
,,Thermodynamics and Heat Transfer,,,
,,Chuyên ngành (Speciality),,,
12,IU3011,Kỹ thuật lập trình PLC,3,,
,,PLC Technology and Programming,,,
13,IU3059,Công nghệ điện,4,IU2003(KN),
,,Electrical Technology,,,
14,IU3063,Công nghệ khí nén,3,,
,,Pneumatic Technology,,,
15,IU3065,Công nghệ cơ khí 3,3,IU3061(SH),
,,Mechanical Technology 3,,,
16,IU3067,Công nghệ lạnh và điều hòa,3,ME2013(KN),
,,Air-Conditioning and Freezing Technology,,,
17,IU4015,Công nghệ thủy lực,3,,
,,Hydraulic Technology,,,
18,IU4021,Kỹ thuật bảo trì,3,IU2021(KN),
,,Maintenance Engineering,,,
,,Tốt nghiệp (Graduation),,,
19,IU3325,Thực tập ngoài trường,2,,
,,Internship,,,
20,IU4013,Đồ án chuyên ngành,2,IU3325(SH),
,,Project,,,
21,IU4327,Đồ án tốt nghiệp,4,IU3325(TQ) IU4013(TQ),
,,Capstone Project,,,
,,3. Tự chọn tự do: 9 tín chỉ (Free Electives: 9 Credits),,,
,,4. Chứng chỉ (Certification),,,
1,,Giáo dục quốc phòng,,,
,,Military Training,,,
2,,Giáo dục thể chất,,,
,,Physical Education,,,
