STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,1. Kiến thức giáo dục đại cương,,,
,,General Knowledge,,,
,,Toán,,,
,,Mathematics,,,
1,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
4,MT2013,Xác suất và thống kê,4,"MT1003(KN) MT1007(KN)",
,,Probability and Statistics,,,
,,Khoa học tự nhiên,,,
,,Science,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
7,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
,,Toán và KH tự nhiên khác,,,
,,Other Mathematics and Science,,,
8,CO1007,Cấu trúc rời rạc cho khoa học máy tính,4,,
,,Discrete Structures for Computing,,,
9,PH1005,Vật lý 2,4,PH1003(KN),
,,General Physics 2,,,
,,Kinh tế- Chính trị- Xã hội- Luật,,,
,,Economics - Politics - Sociology - Law,,,
10,SP1007,Pháp luật Việt Nam đại cương,2,,
,,Introduction to Vietnamese Law,,,
11,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
12,SP1033,Kinh tế chính trị Mác - Lênin,2,SP1031(KN),
,,Marxist - Leninist Political Economy,,,
13,SP1035,Chủ nghĩa xã hội khoa học,2,SP1033(KN),
,,Scientific Socialism,,,
14,SP1037,Tư tưởng Hồ Chí Minh,2,SP1039(KN),
,,Ho Chi Minh Ideology,,,
15,SP1039,Lịch sử Đảng Cộng sản Việt Nam,2,SP1035(KN),
,,History of Vietnamese Communist Party,,,
,,Giáo dục chung khác,,,
,,Other Knowledge,,,
,,Nhập môn,,,
,,Introduction to Engineering,,,
16,CO1005,Nhập môn điện toán,3,,
,,Introduction to Computing,,,
,,Nhóm Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
17.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
17.2,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
17.3,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
17.4,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
17.5,IM3001,Quản trị kinh doanh cho kỹ sư,3,,
,,Business Administration for Engineers,,,
,,Con người và môi trường,,,
,,Humans and Environment,,,
18,CO2001,Kỹ năng chuyên nghiệp cho kỹ sư,3,CO1005(TQ),
,,Professional Skills for Engineers,,,
,,Ngoại ngữ,,,
,,Foreign Language,,,
19,LA1003,Anh văn 1,2,,
,,English 1,,,
20,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
21,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
22,LA1009,Anh văn 4,2,LA1007(TQ),
,,English 4,,,
,,2. Kiến thức giáo dục chuyên nghiệp,,,
,,Professional Knowledge,,,
,,Cơ sở ngành,,,
,,Core,,,
1,CO1027,Kỹ thuật lập trình,3,,
,,Programming Fundamentals,,,
2,CO1033,Nhập môn hệ thống số,3,,
,,Introduction to Digital Systems,,,
3,CO2003,Cấu trúc dữ liệu và giải thuật,4,"CO1007(KN) CO1027(KN)",
,,Data Structures and Algorithms,,,
4,CO2007,Kiến trúc máy tính,4,"CO1005(KN) CO1033(KN)",
,,Computer Architecture,,,
5,CO2013,Hệ cơ sở dữ liệu,4,,
,,Database Systems,,,
,,Chuyên ngành,,,
,,Speciality,,,
6,CO2017,Hệ điều hành,3,,
,,Operating Systems,,,
7,CO3001,Công nghệ phần mềm,3,CO1027(KN),
,,Software Engineering,,,
8,CO3021,Hệ quản trị cơ sở dữ liệu,3,CO2013(KN),
,,Database Management Systems,,,
9,CO3027,Thương mại điện tử,3,,
,,Electronic Commerce,,,
10,CO3043,Phát triển ứng dụng trên thiết bị di động,3,,
,,Mobile Application Development,,,
11,CO3045,Lập trình game,3,,
,,Game Programming,,,
12,CO3061,Nhập môn trí tuệ nhân tạo,3,,
,,Introduction to Artificial Intelligence,,,
13,CO3069,Mật mã và an ninh mạng,3,,
,,Cryptography and Network Security,,,
14,CO3093,Mạng máy tính,3,,
,,Computer Networks,,,
15,CO3115,Phân tích và thiết kế hệ thống,3,,
,,Systems Analysis and Design,,,
,,Tốt nghiệp,,,
,,Graduation,,,
16,CO3355,Thực tập ngoài trường,2,,
,,Internship,,,
17,CO4043,Đồ án chuyên ngành,2,CO3355(SH),
,,Specialized Project,,,
18,CO4357,Đồ án tốt nghiệp (Công nghệ Thông tin),4,"CO3355(TQ) CO4043(TQ)",
,,Capstone Project,,,
,,3. Tự chọn tự do: 9 tín chỉ,,,
,,Free Electives: 9 Credits,,,
