STT,Mã học phần,Tên học phần,Tín chỉ,Học phần tiên quyết/song hành,Ghi chú
,,Học kỳ 1 (Semester 1),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1003,Anh văn 1,2,,
,,English 1,,,
2,CH1001,Nhập môn về kỹ thuật,3,,
,,Introduction to Engineering,,,
3,MT1003,Giải tích 1,4,,
,,Calculus 1,,,
4,PH1003,Vật lý 1,4,,
,,General Physics 1,,,
5,CH1003,Hóa đại cương,3,,
,,General Chemistry,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
,,Học kỳ 2 (Semester 2),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1005,Anh văn 2,2,LA1003(TQ),
,,English 2,,,
2,MT1005,Giải tích 2,4,MT1003(KN),
,,Calculus 2,,,
3,PH1007,Thí nghiệm vật lý,1,,
,,General Physics Labs,,,
4,MT1007,Đại số tuyến tính,3,,
,,Linear Algebra,,,
5,CI1003,Vẽ kỹ thuật,3,,
,,Engineering Drawing,,,
6,,Giáo dục thể chất,0,,
,,Physical Education,,,
7,MI1003,Giáo dục quốc phòng,0,,
,,Military Training,,,
,,Các học phần tự chọn (Elective Courses),,,
,,Tự chọn Quản lý (chọn 3 tín chỉ trong các học phần sau),,,
,,Elective Courses - Management for Engineers (Select 3 credits in the group of courses below),,,
1.1,IM1013,Kinh tế học đại cương,3,,
,,Economics,,,
1.2,IM1027,Kinh tế kỹ thuật,3,,
,,Engineering Economics,,,
1.3,IM1021,Khởi nghiệp,3,,
,,Entrepreneurship,,,
1.4,IM1025,Quản lý dự án cho kỹ sư,3,,
,,Project Management for Engineers,,,
1.5,IM1023,Quản lý sản xuất cho kỹ sư,3,,
,,Production and Operations Management for Engineers,,,
,,Học kỳ 3 (Semester 3),,,
,,Các học phần bắt buộc (Compulsary Courses),,,
1,LA1007,Anh văn 3,2,LA1005(TQ),
,,English 3,,,
2,SP1031,Triết học Mác - Lênin,3,,
,,Marxist - Leninist Philosophy,,,
3,CH2027,Sinh học đại cương,3,,
,,General Biology,,,
4,CH2113,Hóa phân tích,3,CH1003(KN),
,,Analytical Chemistry,,,
5,CH2115,Thí nghiệm hóa phân tích,1,CH1003(KN),
,,Analytical Chemistry Laboratory,,,
6,CH1005,Hóa lý hóa keo,3,CH1003(KN) MT1003(KN),
